,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700
1000,256.00,260.00,262.00,268.00,273.20,280.40,288.80,294.80,298.40,304.40,308.40,311.60,313.60,316.00,321.60,323.20,327.20,331.60,335.20,€339.60,€343.60,€349.20,€353.60,€358.00,€362.80,€366.80,€371.20,€376.00
1100,262.00,266.00,268.40,275.20,280.80,288.00,297.20,302.40,308.40,314.00,318.00,321.60,324.40,327.60,333.60,336.80,339.20,343.60,348.40,€353.20,€357.60,€364.80,€369.20,€373.60,€379.60,€383.60,€388.00,€394.00
1200,267.60,272.00,275.20,283.20,288.80,296.40,304.40,312.00,317.20,323.60,328.00,332.80,336.40,340.40,345.60,348.80,353.20,357.20,360.80,€366.80,€372.00,€380.40,€385.20,€390.80,€396.00,€402.40,€406.80,€412.80
1300,272.80,278.00,282.00,290.00,295.60,304.00,313.60,320.80,327.60,333.20,338.40,343.20,346.80,353.20,358.00,361.60,365.20,371.20,374.00,€380.00,€386.80,€395.20,€401.60,€406.40,€412.80,€418.40,€424.40,€430.00
1400,278.00,285.60,288.80,296.40,303.20,312.40,321.60,330.00,337.20,343.60,347.60,353.60,358.80,363.60,368.80,374.80,379.20,383.20,387.60,€393.20,€401.60,€411.20,€417.60,€422.80,€428.80,€436.00,€442.80,€448.80
1500,283.60,290.40,295.60,304.00,311.20,319.60,330.40,338.80,346.80,353.20,358.40,364.00,369.60,376.40,382.40,386.80,392.80,396.80,400.40,€406.40,€415.60,€426.00,€432.40,€439.60,€446.00,€452.40,€459.60,€467.60
1600,290.00,296.40,302.80,310.80,318.40,327.20,337.60,347.60,355.20,363.60,368.00,374.40,381.60,387.60,395.60,399.20,406.00,408.80,414.40,€420.00,€430.80,€441.20,€448.80,€456.40,€462.40,€470.40,€477.60,€485.20
1700,296.00,303.20,309.20,318.00,326.80,335.20,346.80,355.60,365.20,373.20,379.60,384.40,392.80,400.00,406.40,411.60,418.40,423.20,426.40,€433.60,€444.80,€457.20,€464.40,€471.60,€479.60,€487.60,€494.40,€502.40
1800,300.00,309.20,316.00,324.00,334.80,343.60,354.40,364.80,374.00,383.60,388.40,395.60,403.60,411.60,418.80,425.20,430.80,436.40,440.40,€446.80,€459.20,€472.00,€480.40,€487.20,€496.00,€503.60,€511.60,€520.00
1900,306.40,315.60,322.40,332.40,342.00,352.00,363.20,372.80,384.00,392.80,398.80,406.00,414.80,424.00,430.80,437.60,445.20,449.20,453.20,€460.80,€474.80,€487.20,€496.40,€503.60,€512.80,€520.80,€530.00,€538.40
2000,312.00,321.20,328.80,340.00,349.20,359.60,371.60,382.40,393.60,402.40,408.40,416.40,425.20,435.60,444.40,449.60,458.00,462.40,466.80,€474.00,€489.20,€503.20,€510.80,€520.00,€529.60,€538.80,€547.20,€556.40
2100,317.60,327.20,336.40,347.60,357.20,368.00,379.60,391.20,403.60,411.60,418.40,427.20,436.40,448.40,456.00,463.20,470.40,474.80,480.40,€487.60,€503.20,€519.60,€526.80,€536.00,€546.40,€555.60,€565.60,€574.80
2200,322.40,333.60,342.80,354.40,364.00,375.20,388.40,400.40,412.40,422.00,428.40,438.00,448.40,459.60,467.60,475.60,483.60,489.20,493.20,€501.60,€518.00,€534.40,€543.20,€552.80,€562.80,€572.80,€583.20,€592.40
2300,328.00,340.00,350.40,361.60,372.00,384.00,396.00,408.80,421.60,431.20,438.80,449.20,458.80,470.80,480.80,489.20,496.40,501.60,505.60,€514.40,€532.00,€550.40,€558.80,€568.80,€578.80,€589.60,€  -,€  -
2400,333.60,346.80,357.20,368.80,379.20,392.40,404.40,418.40,430.80,440.80,448.40,459.60,470.00,482.80,493.20,501.20,510.00,514.40,519.60,€528.40,€546.40,€564.80,€574.00,€585.20,€595.60,€  -,€  -,€  -
