,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000
1000,€606.80,€639.60,€669.60,€697.60,€729.20,€759.60,€787.60,€819.60,€848.00,€880.00,€908.00,€937.60,€969.60,€998.00,"€1,027.20","€1,058.00","€1,087.60","€1,118.00","€1,149.60","€1,178.00","€1,206.40"
1100,€620.00,€650.40,€677.20,€713.20,€742.80,€775.20,€806.00,€838.00,€868.80,€898.80,€930.40,€960.40,€992.00,"€1,023.60","€1,053.60","€1,086.40","€1,116.80","€1,146.80","€1,176.40","€1,208.00","€1,526.00"
1200,€629.20,€661.60,€689.20,€726.00,€756.80,€791.20,€824.00,€854.00,€887.20,€919.60,€951.20,€984.00,"€1,018.00","€1,049.20","€1,082.00","€1,111.60","€1,144.40","€1,178.00","€1,210.80","€1,512.40","€1,562.00"
1300,€641.20,€672.40,€705.20,€740.00,€773.20,€806.00,€840.80,€873.60,€906.80,€941.20,€974.00,"€1,007.60","€1,040.40","€1,074.80","€1,107.20","€1,173.60","€1,356.40","€1,389.60","€1,533.60","€1,550.00","€1,606.80"
1400,€648.80,€684.80,€718.80,€751.60,€787.60,€822.40,€856.80,€891.60,€926.40,€960.40,€994.80,"€1,031.20","€1,064.00","€1,098.40","€1,166.00","€1,201.20","€1,234.80","€1,270.80","€1,570.40","€1,594.80","€1,650.40"
1500,€660.40,€694.80,€731.60,€767.20,€801.20,€839.20,€874.80,€909.60,€945.60,€981.20,"€1,018.00","€1,052.00","€1,089.20","€1,157.60","€1,193.20","€1,228.80","€1,264.00","€1,510.80","€1,608.80","€1,635.20","€1,698.40"
1600,€669.60,€705.20,€742.80,€780.80,€818.00,€854.00,€891.60,€928.80,€966.80,"€1,001.20","€1,038.40","€1,076.40","€1,144.40","€1,182.80","€1,218.00","€1,256.00","€1,292.80","€1,548.40","€1,646.00","€1,680.40","€1,743.20"
1700,€677.20,€716.00,€755.20,€793.60,€831.20,€870.80,€908.00,€945.60,€984.00,"€1,023.60","€1,059.60","€1,131.20","€1,168.80","€1,206.40","€1,245.60","€1,284.80","€1,320.00","€1,586.00","€1,676.00","€1,718.00","€1,785.20"
1800,€685.60,€726.00,€768.00,€806.00,€846.40,€885.20,€926.40,€963.20,"€1,003.60","€1,043.20","€1,114.00","€1,153.20","€1,193.20","€1,233.60","€1,270.80","€1,310.00","€1,638.40","€1,653.20","€1,713.20","€1,761.20","€1,830.00"
1900,€699.60,€737.20,€780.80,€820.80,€860.00,€902.00,€942.40,€982.80,"€1,023.60","€1,062.40","€1,136.00","€1,178.00","€1,217.20","€1,257.20","€1,298.00","€1,338.40","€1,666.80","€1,683.60","€1,743.20","€1,801.60","€1,878.40"
2000,€710.40,€750.40,€792.40,€834.80,€876.00,€918.00,€959.20,"€1,001.20","€1,076.40","€1,116.80","€1,157.60","€1,199.60","€1,240.80","€1,283.20","€1,323.60","€1,668.40","€1,700.40","€1,720.40","€1,788.40","€1,845.20","€1,920.40"
2100,€720.80,€762.80,€804.00,€848.00,€890.40,€934.00,€977.20,"€1,020.80","€1,094.00","€1,137.60","€1,181.20","€1,223.20","€1,265.20","€1,308.80","€1,378.80","€1,700.40","€1,728.40","€1,758.40","€1,826.00","€1,890.00","€1,965.60"
2200,€729.20,€775.20,€818.00,€863.20,€905.20,€948.40,€993.20,"€1,036.80","€1,114.00","€1,157.60","€1,202.00","€1,245.60","€1,290.80","€1,334.00","€1,404.40","€1,733.60","€1,758.40","€1,796.40","€1,870.80","€1,933.60","€2,006.00"
