,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000
1000,518.40,527.60,536.40,548.40,557.60,567.20,572.80,581.20,585.60,591.60,598.00,689.60,702.00,714.40,733.20,740.00,912.80,937.60,962.00,986.80,"1,011.60"
1200,527.20,536.40,548.40,561.60,571.20,580.40,590.40,600.00,609.60,619.60,628.80,717.20,726.80,824.40,846.40,850.80,946.80,972.80,998.80,"1,025.20","1,050.80"
1400,537.60,547.60,559.60,572.40,581.20,583.20,594.80,608.40,622.80,656.00,664.40,744.40,761.60,854.80,878.00,883.60,981.20,"1,008.40","1,036.00","1,063.20","1,090.80"
1600,557.20,569.60,581.20,585.60,596.40,609.60,622.80,638.00,658.80,677.20,694.40,798.40,815.60,914.40,940.80,950.00,"1,015.20","1,044.00","1,072.40","1,101.60","1,130.00"
1800,561.60,573.20,586.00,597.60,615.20,627.20,642.80,658.00,680.40,698.80,720.00,827.60,840.40,944.40,972.40,982.80,"1,049.20","1,079.60","1,109.60","1,139.60","1,169.60"
2000,572.00,583.60,589.20,604.40,617.60,637.60,655.60,670.80,697.20,723.20,750.40,860.80,882.00,956.80,986.00,"1,015.60","1,083.60","1,114.80","1,146.40","1,177.60","1,209.20"
2200,582.40,594.00,599.60,616.00,637.60,654.40,670.40,690.00,720.00,748.80,776.40,935.60,956.80,986.80,"1,017.60","1,048.40","1,117.60","1,150.40","1,183.20","1,215.60","1,248.40"
2400,592.80,604.40,611.60,631.20,650.80,670.40,690.40,714.40,743.60,773.60,802.40,968.80,990.00,"1,017.20","1,049.20","1,081.20","1,152.00","1,186.40","1,220.00","1,254.00","1,288.00"
2600,604.40,614.80,628.80,646.80,668.40,689.20,706.40,734.00,833.20,864.40,894.80,"1,002.00","1,023.20","1,044.40","1,065.60","1,098.80","1,170.40","1,205.60","1,241.20","1,276.40","1,312.00"
2800,613.60,625.20,642.00,661.60,684.40,705.60,724.80,758.80,856.80,889.20,921.20,"1,035.20","1,056.40","1,077.60","1,098.80","1,131.60","1,204.80","1,241.60","1,278.00","1,314.40","1,351.60"
3000,624.00,635.60,650.80,672.40,694.80,718.00,743.20,774.40,880.80,914.40,947.60,"1,068.40","1,089.60","1,110.80","1,132.00","1,164.40","1,238.80","1,276.80","1,314.80","1,352.80","1,390.80"
3200,634.40,646.00,665.60,687.20,709.60,738.80,764.00,795.20,904.40,939.20,973.60,"1,101.60","1,122.80","1,144.00","1,165.20","1,197.20","1,304.40","1,344.00",,,
3400,644.80,656.40,680.40,702.00,724.40,753.60,778.80,810.00,928.00,964.00,"1,000.40","1,134.80","1,156.00","1,177.20","1,198.40","1,230.40","1,339.20","1,379.20",,,
3600,719.60,731.20,755.20,776.80,799.20,828.40,853.60,884.80,981.60,"1,022.40","1,062.00","1,168.00","1,189.20","1,210.40","1,254.40","1,294.40",,,,,
3800,734.40,746.00,772.00,795.60,820.00,849.20,876.40,909.60,"1,005.20","1,047.20","1,088.80","1,201.20","1,222.40","1,243.60","1,286.00","1,327.20",,,,,
4000,749.60,761.20,788.40,814.40,840.80,870.00,899.20,934.80,"1,028.80","1,072.00","1,114.80","1,234.40","1,255.60","1,276.80","1,317.60","1,360.00",,,,,
4200,764.40,776.00,805.20,832.80,861.60,890.80,922.00,959.60,"1,052.40","1,096.80","1,140.80","1,267.60","1,288.80",,,,,,,,
4400,779.20,790.80,821.60,851.60,882.40,911.20,944.80,984.40,"1,076.00","1,122.00","1,167.60","1,300.80","1,322.00",,,,,,,,
4600,794.40,806.00,838.40,870.40,903.20,932.00,968.00,"1,009.20","1,100.00","1,147.20","1,193.60",,,,,,,,,,
4800,809.20,820.80,854.80,888.80,924.00,952.80,990.80,"1,034.40","1,123.60","1,172.00","1,220.00",,,,,,,,,,
5000,824.00,835.60,870.00,904.00,938.80,968.00,"1,005.60","1,049.20","1,147.20","1,197.20","1,246.00",,,,,,,,,,
