,5200,5400,5600,5800,6000
1000,"2,189.00","2,246.00","2,307.00","2,368.00","2,431.00"
1200,"2,288.00","2,348.00","2,412.00","2,475.00","2,540.00"
1400,"2,465.00","2,529.00","2,596.00","2,664.00","2,736.00"
1600,"2,566.00","2,635.00","2,703.00","2,775.00","2,850.00"
1800,"2,665.00","2,737.00","2,809.00","2,883.00","2,959.00"
2000,"2,765.00","2,840.00","2,913.00","2,990.00","3,070.00"
2200,"2,865.00","2,939.00","3,018.00","3,096.00","3,180.00"
2400,"2,974.00","3,052.00","3,133.00","3,217.00","3,300.00"
2600,"3,073.00","3,156.00","3,239.00","3,325.00","3,411.00"
2800,"3,169.00","3,253.00","3,338.00","3,429.00","3,519.00"
3000,"3,273.00","3,358.00","3,448.00","3,540.00","3,634.00"
